,all_data,formattedLocation,country
6014,"Regional Municipality of Durham, ON, Canada","Regional Municipality of Durham, ON",Canada
6015,"Quáº­n 7, Ho Chi Minh City, Vietnam, Vietnam","Quáº­n 7, Ho Chi Minh City, Vietnam",Vietnam
6016,"Grosse Pointe Woods, MI, United States","Grosse Pointe Woods, MI",United States of America
6017,"Welch, MN, United States","Welch, MN",United States of America
6018,"Saint Johns, FL, United States","Saint Johns, FL",United States of America
6019,"Saco, ME, United States","Saco, ME",United States of America
6020,"Lincoln, CA, United States","Lincoln, CA",United States of America
6021,"Walpole, NH, United States","Walpole, NH",United States of America
6022,"Wailuku, HI, United States","Wailuku, HI",United States of America
6023,"Hillsborough, NH, United States","Hillsborough, NH",United States of America
6024,"Devizes, England, United Kingdom, United Kingdom","Devizes, England, United Kingdom",United Kingdom
6025,"Ludlow, VT, United States","Ludlow, VT",United States of America
6026,"Baker City, OR, United States","Baker City, OR",United States of America
6027,"Chelan, WA, United States","Chelan, WA",United States of America
6028,"Fair Haven, VT, United States","Fair Haven, VT",United States of America
6029,"Baku City, Baku, Azerbaijan, Azerbaijan","Baku City, Baku, Azerbaijan",Azerbaijan
6030,"Gary, Indiana, United States, United States","Gary, Indiana, United States",United States of America
6031,"Hawaii County, HI, United States","Hawaii County, HI",United States of America
6032,"Cottage Grove, OR, United States","Cottage Grove, OR",United States of America
6033,"Newport, OR, United States","Newport, OR",United States of America
6034,"Burns, OR, United States","Burns, OR",United States of America
6035,"North Bend, OR, United States","North Bend, OR",United States of America
6036,"Bhaktapur, BÄgmatÄ«, Nepal, Nepal","Bhaktapur, BÄgmatÄ«, Nepal",Nepal
6037,"Madison, GA, United States","Madison, GA",United States of America
6038,"Greenville County, SC, United States","Greenville County, SC",United States of America
6039,"MÃ¥lÃ¸v, Capital Region of Denmark, Denmark, Denmark","MÃ¥lÃ¸v, Capital Region of Denmark, Denmark",Denmark
6040,"BaÅiskele, Kocaeli, TÃ¼rkiye, TÃ¼rkiye","BaÅiskele, Kocaeli, TÃ¼rkiye",TÃ¼rkiye
6041,"Herne, North Rhine-Westphalia, Germany, Germany","Herne, North Rhine-Westphalia, Germany",Germany
6042,"Tulsa County, OK, United States","Tulsa County, OK",United States of America
6043,"CuautitlÃ¡n Izcalli, MÃ©xico, Mexico, Mexico","CuautitlÃ¡n Izcalli, MÃ©xico, Mexico",Mexico
6044,"Bexhill, New South Wales, Australia, Australia","Bexhill, New South Wales, Australia",Australia
6045,"Ettlingen, Baden-WÃ¼rttemberg, Germany, Germany","Ettlingen, Baden-WÃ¼rttemberg, Germany",Germany
6046,"Asse, Flemish Region, Belgium, Belgium","Asse, Flemish Region, Belgium",Belgium
6047,"Fife, Scotland, United Kingdom, United Kingdom","Fife, Scotland, United Kingdom",United Kingdom
6048,"Libourne, Nouvelle-Aquitaine, France, France","Libourne, Nouvelle-Aquitaine, France",France
6049,"PorriÃ±o, Galicia, Spain, Spain","PorriÃ±o, Galicia, Spain",Spain
6050,"Winnebago, NE, United States","Winnebago, NE",United States of America
6051,"Cass Lake, MN, United States","Cass Lake, MN",United States of America
6052,"Dreieich, Hesse, Germany, Germany","Dreieich, Hesse, Germany",Germany
6053,"Brugherio, Lombardy, Italy, Italy","Brugherio, Lombardy, Italy",Italy
6054,"Swadlincote, England, United Kingdom, United Kingdom","Swadlincote, England, United Kingdom",United Kingdom
6055,"Vercelli, Piedmont, Italy, Italy","Vercelli, Piedmont, Italy",Italy
6056,"Metzingen, Baden-WÃ¼rttemberg, Germany, Germany","Metzingen, Baden-WÃ¼rttemberg, Germany",Germany
6057,"Zaltbommel, Gelderland, Netherlands, Netherlands","Zaltbommel, Gelderland, Netherlands",Netherlands
6058,"Fairlawn, OH, United States","Fairlawn, OH",United States of America
6059,"Cossington, England, United Kingdom, United Kingdom","Cossington, England, United Kingdom",United Kingdom
6060,"Machanga, Sofala Province, Mozambique, Mozambique","Machanga, Sofala Province, Mozambique",Mozambique
6061,"Konak, Ä°zmir, TÃ¼rkiye, TÃ¼rkiye","Konak, Ä°zmir, TÃ¼rkiye",TÃ¼rkiye
6062,"Melun, Ãle-de-France, France, France","Melun, Ãle-de-France, France",France
6063,"Seef, Capital Governorate, Bahrain, Bahrain","Seef, Capital Governorate, Bahrain",Bahrain
6064,"Lommel, Flemish Region, Belgium, Belgium","Lommel, Flemish Region, Belgium",Belgium
6065,"Martos, Andalusia, Spain, Spain","Martos, Andalusia, Spain",Spain
6066,"Tudela, Chartered Community of Navarre, Spain, Spain","Tudela, Chartered Community of Navarre, Spain",Spain
6067,"Bizkaia, Basque Country, Spain, Spain","Bizkaia, Basque Country, Spain",Spain
6068,"Rochelle, IL, United States","Rochelle, IL",United States of America
6069,"SÃ¼dliche Weinstrasse, Rhineland-Palatinate, Germany, Germany","SÃ¼dliche Weinstrasse, Rhineland-Palatinate, Germany",Germany
6070,"MunguÃ­a, Basque Country, Spain, Spain","MunguÃ­a, Basque Country, Spain",Spain
6071,"Moyale, Marsabit County, Kenya, Kenya","Moyale, Marsabit County, Kenya",Kenya
6072,"Masqaá¹­, Oman, Oman","Masqaá¹­, Oman",Oman
6073,"Canada Bay, New South Wales, Australia, Australia","Canada Bay, New South Wales, Australia",Australia
6074,"Barh, Bihar, India, India","Barh, Bihar, India",India
6075,"Angul, Odisha, India, India","Angul, Odisha, India",India
6076,"Gardnerville, NV, United States","Gardnerville, NV",United States of America
6077,"M, Lindi Region, Tanzania, Tanzania","M, Lindi Region, Tanzania",Tanzania
6078,"Q DagouÃ©, Waterfalls, Burkina Faso, Burkina Faso","Q DagouÃ©, Waterfalls, Burkina Faso",Burkina Faso
6079,"Beeston, England, United Kingdom, United Kingdom","Beeston, England, United Kingdom",United Kingdom
6080,"Hinton, England, United Kingdom, United Kingdom","Hinton, England, United Kingdom",United Kingdom
6081,"Uyo, Akwa Ibom State, Nigeria, Nigeria","Uyo, Akwa Ibom State, Nigeria",Nigeria
6082,"Al Baha, Al Bahah, Saudi Arabia, Saudi Arabia","Al Baha, Al Bahah, Saudi Arabia",Saudi Arabia
6083,"Endingen, Baden-WÃ¼rttemberg, Germany, Germany","Endingen, Baden-WÃ¼rttemberg, Germany",Germany
6084,"North Logan, UT, United States","North Logan, UT",United States of America
6085,"Irapuato, Guanajuato, Mexico, Mexico","Irapuato, Guanajuato, Mexico",Mexico
6086,"Auburn, New South Wales, Australia, Australia","Auburn, New South Wales, Australia",Australia
6087,"Kilchberg, Zurich, Switzerland, Switzerland","Kilchberg, Zurich, Switzerland",Switzerland
6088,"Hoboken, NY, United States","Hoboken, NY",United States of America
6089,"Bethesda, Wales, United Kingdom, United Kingdom","Bethesda, Wales, United Kingdom",United Kingdom
6090,"Watauga, TX, United States","Watauga, TX",United States of America
6091,"Sharon, ON, Canada","Sharon, ON",Canada
6092,"KifisiÃ¡, Attiki, Greece, Greece","KifisiÃ¡, Attiki, Greece",Greece
6093,"Santa Rosa City, Calabarzon, Philippines, Philippines","Santa Rosa City, Calabarzon, Philippines",Philippines
6094,"Northern Virginia, VA, United States","Northern Virginia, VA",United States of America
6095,"Alba, Piedmont, Italy, Italy","Alba, Piedmont, Italy",Italy
6096,"Inzai, Chiba, Japan, Japan","Inzai, Chiba, Japan",Japan
6097,"Langley Air Force Base, Virginia, United States, United States","Langley Air Force Base, Virginia, United States",United States of America
6098,"Puidoux, Vaud, Switzerland, Switzerland","Puidoux, Vaud, Switzerland",Switzerland
6099,"New Paltz, NY, United States","New Paltz, NY",United States of America
6100,"Greater Rostock Region, Germany",Greater Rostock Region,Germany
6101,"Trebaseleghe, Veneto, Italy, Italy","Trebaseleghe, Veneto, Italy",Italy
6102,"Knights Crossing, MA, United States","Knights Crossing, MA",United States of America
6103,"Betzdorf, Rhineland-Palatinate, Germany, Germany","Betzdorf, Rhineland-Palatinate, Germany",Germany
6104,"Parkway Village, KY, United States","Parkway Village, KY",United States of America
6105,"Mijdrecht, Utrecht, Netherlands, Netherlands","Mijdrecht, Utrecht, Netherlands",Netherlands
6106,"Mississippi State, MS, United States","Mississippi State, MS",United States of America
6107,"DonauwÃ¶rth, Bavaria, Germany, Germany","DonauwÃ¶rth, Bavaria, Germany",Germany
6108,"Darien, WI, United States","Darien, WI",United States of America
6109,"Manitowoc County, WI, United States","Manitowoc County, WI",United States of America
6110,"MÃ¶nchengladbach, North Rhine-Westphalia, Germany, Germany","MÃ¶nchengladbach, North Rhine-Westphalia, Germany",Germany
6111,"MÃ¡tranovÃ¡k, NÃ³grÃ¡d, Hungary, Hungary","MÃ¡tranovÃ¡k, NÃ³grÃ¡d, Hungary",Hungary
6112,"Greater Pavia Metropolitan Area, Italy",Greater Pavia Metropolitan Area,Italy
6113,"Great Mills, MD, United States","Great Mills, MD",United States of America
6114,"St Pete Beach, FL, United States","St Pete Beach, FL",United States of America
6115,"Sirsa, Haryana, India, India","Sirsa, Haryana, India",India
6116,"San Rafael, San Jose, Costa Rica, Costa Rica","San Rafael, San Jose, Costa Rica",Costa Rica
6117,"Nasik, Maharashtra, India, India","Nasik, Maharashtra, India",India
6118,"Parole, MD, United States","Parole, MD",United States of America
6119,"Amador County, CA, United States","Amador County, CA",United States of America
6120,"Naval Base Kitsap, WA, United States","Naval Base Kitsap, WA",United States of America
6121,"Apopa, San Salvador, El Salvador, El Salvador","Apopa, San Salvador, El Salvador",El Salvador
6122,"La Libertad, El Salvador, El Salvador","La Libertad, El Salvador",El Salvador
6123,"Greater VÃ¤sterÃ¥s Metropolitan Area, Sweden",Greater VÃ¤sterÃ¥s Metropolitan Area,Sweden
6124,"Heteren, Gelderland, Netherlands, Netherlands","Heteren, Gelderland, Netherlands",Netherlands
6125,"Township of Cherry Hill, NJ, United States","Township of Cherry Hill, NJ",United States of America
6126,"Lemoyne, PA, United States","Lemoyne, PA",United States of America
6127,"Tuxedo Park, NY, United States","Tuxedo Park, NY",United States of America
6128,"Glencoe, Scotland, United Kingdom, United Kingdom","Glencoe, Scotland, United Kingdom",United Kingdom
6129,"Occoquan, Virginia, United States, United States","Occoquan, Virginia, United States",United States of America
6130,"Parker, SD, United States","Parker, SD",United States of America
6131,"Sector 1, Bucharest, Romania, Romania","Sector 1, Bucharest, Romania",Romania
6132,"Jefferson, OH, United States","Jefferson, OH",United States of America
6133,"Sachseln, Obwalden, Switzerland, Switzerland","Sachseln, Obwalden, Switzerland",Switzerland
6134,"Nederland, TX, United States","Nederland, TX",United States of America
6135,"Woodville, TX, United States","Woodville, TX",United States of America
6136,"IaÈi, BraÈov, Romania, Romania","IaÈi, BraÈov, Romania",Romania
6137,"Capital Region, Iceland, Iceland","Capital Region, Iceland",Iceland
6138,"Votorantim, SÃ£o Paulo, Brazil, Brazil","Votorantim, SÃ£o Paulo, Brazil",Brazil
6139,"Johnstown, OH, United States","Johnstown, OH",United States of America
6140,"MaramureÈ, Romania, Romania","MaramureÈ, Romania",Romania
6141,"Slatina-TimiÈ, CaraÈ-Severin, Romania, Romania","Slatina-TimiÈ, CaraÈ-Severin, Romania",Romania
6142,"BrÄila, BrÄila, Romania, Romania","BrÄila, BrÄila, Romania",Romania
6143,"BotoÈani, BotoÈani, Romania, Romania","BotoÈani, BotoÈani, Romania",Romania
6144,"Richmond, KY, United States","Richmond, KY",United States of America
6145,"Green Knoll, NJ, United States","Green Knoll, NJ",United States of America
6146,"Vero Beach South, FL, United States","Vero Beach South, FL",United States of America
6147,"Tondiarpet, Tamil Nadu, India, India","Tondiarpet, Tamil Nadu, India",India
6148,"DÃºn Laoghaire-Rathdown, Ireland, Ireland","DÃºn Laoghaire-Rathdown, Ireland",Ireland
6149,"Jenks, OK, United States","Jenks, OK",United States of America
6150,"Giessen, Hesse, Germany, Germany","Giessen, Hesse, Germany",Germany
6151,"Enghien-les-Bains, Ãle-de-France, France, France","Enghien-les-Bains, Ãle-de-France, France",France
6152,"Rueil, Ãle-de-France, France, France","Rueil, Ãle-de-France, France",France
6153,"Assam, India, India","Assam, India",India
6154,"Abu Dhabi Industrial City, Abu Dhabi Emirate, United Arab Emirates, United Arab Emirates","Abu Dhabi Industrial City, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates
6155,"Wetherill Park, New South Wales, Australia, Australia","Wetherill Park, New South Wales, Australia",Australia
6156,"Minato-ku, Aichi, Japan, Japan","Minato-ku, Aichi, Japan",Japan
6157,"Columbus, Georgia, United States, United States","Columbus, Georgia, United States",United States of America
6158,"Sandia Park, NM, United States","Sandia Park, NM",United States of America
6159,"Malaga, Western Australia, Australia, Australia","Malaga, Western Australia, Australia",Australia
6160,"Alloa, Scotland, United Kingdom, United Kingdom","Alloa, Scotland, United Kingdom",United Kingdom
6161,"Wendouree, Victoria, Australia, Australia","Wendouree, Victoria, Australia",Australia
6162,"Engelberg, Obwalden, Switzerland, Switzerland","Engelberg, Obwalden, Switzerland",Switzerland
6163,"Candiac, QC, Canada","Candiac, QC",Canada
6164,"Olympia Fields, IL, United States","Olympia Fields, IL",United States of America
6165,"La Paz, Baja California Sur, Mexico, Mexico","La Paz, Baja California Sur, Mexico",Mexico
6166,"Berwick, NS, Canada","Berwick, NS",Canada
6167,"Cherokee, NC, United States","Cherokee, NC",United States of America
6168,"Jonesboro, GA, United States","Jonesboro, GA",United States of America
6169,"Seattle metropolitan area, WA, United States","Seattle metropolitan area, WA",United States of America
6170,"Kalisz Metropolitan Area, Poland",Kalisz Metropolitan Area,Poland
6171,"Mays Landing, NJ, United States","Mays Landing, NJ",United States of America
6172,"Great Bend, KS, United States","Great Bend, KS",United States of America
6173,"Azambuja, Lisbon, Portugal, Portugal","Azambuja, Lisbon, Portugal",Portugal
6174,"Astoria, OR, United States","Astoria, OR",United States of America
6175,"Idaho Springs, CO, United States","Idaho Springs, CO",United States of America
6176,"NiÅ¡, Centralna Srbija, Serbia, Serbia","NiÅ¡, Centralna Srbija, Serbia",Serbia
6177,"Oostkamp, Flemish Region, Belgium, Belgium","Oostkamp, Flemish Region, Belgium",Belgium
6178,"Singida, Singida Region, Tanzania, Tanzania","Singida, Singida Region, Tanzania",Tanzania
6179,"Schliersee, Bavaria, Germany, Germany","Schliersee, Bavaria, Germany",Germany
6180,"Klaten Tengah, Central Java, Indonesia, Indonesia","Klaten Tengah, Central Java, Indonesia",Indonesia
6181,"Calabarzon, Philippines, Philippines","Calabarzon, Philippines",Philippines
6182,"Sabine Pass, TX, United States","Sabine Pass, TX",United States of America
6183,"RegiÃ³n de Murcia, Spain, Spain","RegiÃ³n de Murcia, Spain",Spain
6184,"MiÄkinia, DolnoÅlÄskie, Poland, Poland","MiÄkinia, DolnoÅlÄskie, Poland",Poland
6185,"TilliÃ¨res-sur-Avre, Centre-Val de Loire, France, France","TilliÃ¨res-sur-Avre, Centre-Val de Loire, France",France
6186,"French Camp, CA, United States","French Camp, CA",United States of America
6187,"Loxahatchee Groves, FL, United States","Loxahatchee Groves, FL",United States of America
6188,"English, IN, United States","English, IN",United States of America
6189,"St. Helier, St. Helier, Jersey, Jersey","St. Helier, St. Helier, Jersey",Jersey
6190,"Ãankaya, Ankara, TÃ¼rkiye, TÃ¼rkiye","Ãankaya, Ankara, TÃ¼rkiye",TÃ¼rkiye
6191,"Hradec KrÃ¡lovÃ©, Hradec KrÃ¡lovÃ©, Czechia, Czechia","Hradec KrÃ¡lovÃ©, Hradec KrÃ¡lovÃ©, Czechia",Czechia
6192,"Ãrebro, Ãrebro County, Sweden, Sweden","Ãrebro, Ãrebro County, Sweden",Sweden
6193,"Mont-Saint-Guibert, Walloon Region, Belgium, Belgium","Mont-Saint-Guibert, Walloon Region, Belgium",Belgium
6194,"Greater Drohobych Area, Ukraine",Greater Drohobych Area,Ukraine
6195,"Greater Vitoria Area, Brazil",Greater Vitoria Area,Brazil
6196,"Tambora, Jakarta, Indonesia, Indonesia","Tambora, Jakarta, Indonesia",Indonesia
6197,"Nocera Inferiore, Campania, Italy, Italy","Nocera Inferiore, Campania, Italy",Italy
6198,"Heber Springs, AR, United States","Heber Springs, AR",United States of America
6199,"Shelby Township, MI, United States","Shelby Township, MI",United States of America
6200,"Wymondham, England, United Kingdom, United Kingdom","Wymondham, England, United Kingdom",United Kingdom
6201,"Pawling, NY, United States","Pawling, NY",United States of America
6202,"Atherton, England, United Kingdom, United Kingdom","Atherton, England, United Kingdom",United Kingdom
6203,"Cranleigh, England, United Kingdom, United Kingdom","Cranleigh, England, United Kingdom",United Kingdom
